WigleWifi-1.4,appRelease=2.60,model=SM-G973F,release=11,device=beyond1,display=RP1A.200720.012.G973FXXU9FUCD,board=exynos9820,brand=samsung
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
90:f8:91:6d:d6:da,Telenor2819dao,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-11 13:34:10,1,-49,59.95529469785957,10.60968677680481,198.53977803145148,8,WIFI
90:f8:91:6d:d6:d3,Telenor2819dao,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-11 13:34:10,100,-64,59.95529469785957,10.60968677680481,198.53977803145148,8,WIFI
44:f0:34:ea:be:c7,Telenor2819dao,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-11 13:34:10,6,-69,59.95529469785957,10.60968677680481,198.53977803145148,8,WIFI
44:f0:34:ea:be:c0,Telenor2819dao,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-11 13:34:10,100,-71,59.95529469785957,10.60968677680481,198.53977803145148,8,WIFI
fc:db:b3:9f:2c:bb,G7-9F2CBB,[ESS],2021-05-11 13:34:10,10,-83,59.95529469785957,10.60968677680481,198.53977803145148,8,WIFI
10:62:eb:99:eb:95,Dlinkwifi,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],2021-05-11 13:34:10,6,-88,59.95529469785957,10.60968677680481,198.53977803145148,8,WIFI
10:62:eb:99:eb:94,toulouse,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS][WPS],2021-05-11 13:34:10,6,-89,59.95529469785957,10.60968677680481,198.53977803145148,8,WIFI
24214_10006_28188178,ICE Communication Norge AS,UNKNOWN;no,2021-05-11 13:34:10,6200,-113,59.95529469785957,10.60968677680481,198.53977803145148,8,GSM
24214_10007_30904358,ICE Communication Norge AS,UNKNOWN;no,2021-05-11 13:34:10,6200,-94,59.95529469785957,10.60968677680481,198.53977803145148,8,GSM
48:e5:28:50:8f:6f,,Uncategorized;10,2021-05-11 13:34:12,7936,-85,59.95530054616627,10.609690445014667,204.1505032126167,12,BLE
90:f8:91:6d:d6:d3,Telenor2819dao,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-11 13:34:13,100,-59,59.95531802416396,10.609679336759394,205.8120876470923,12,WIFI
44:f0:34:ea:be:c0,Telenor2819dao,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-11 13:34:13,100,-65,59.95531802416396,10.609679336759394,205.8120876470923,12,WIFI
1c:3b:f3:55:21:a5,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2021-05-11 13:34:13,100,-89,59.95531802416396,10.609679336759394,205.8120876470923,12,WIFI
10:62:eb:99:eb:96,toulouse,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS][WPS],2021-05-11 13:34:13,36,-94,59.95531802416396,10.609679336759394,205.8120876470923,12,WIFI
82:18:7f:ec:96:e0,Gjestenettverk,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-TKIP][ESS],2021-05-11 13:34:16,13,-92,59.955297034463456,10.609694754268991,203.6698982954375,8,WIFI
b8:f6:53:ac:09:a8,JBL Flip 5,Speaker,2021-05-11 13:34:17,1044,-61,59.95530755288214,10.609704182081142,203.49918405586757,8,BLE
44:f0:34:ea:be:bf,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2021-05-11 13:34:19,100,-73,59.955304980529675,10.609675111896971,203.8149454111475,6,WIFI
22:3b:f3:55:21:a4,Helt KONGE,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][ESS][WPS],2021-05-11 13:34:19,44,-92,59.955304980529675,10.609675111896971,203.8149454111475,6,WIFI
12:10:71:54:5d:6f,,Uncategorized;10,2021-05-11 13:34:19,7936,-89,59.955304980529675,10.609675111896971,203.8149454111475,6,BT
