WigleWifi-1.4,appRelease=2.60,model=SM-G973F,release=11,device=beyond1,display=RP1A.200720.012.G973FXXU9FUCD,board=exynos9820,brand=samsung
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
90:f8:91:6d:d6:da,Telenor2819dao,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-11 13:28:21,1,-62,59.955397105523595,10.609745726764631,197.18135960417592,8,WIFI
90:f8:91:6d:d6:d3,Telenor2819dao,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-11 13:28:21,100,-70,59.955397105523595,10.609745726764631,197.18135960417592,8,WIFI
44:f0:34:ea:be:c7,Telenor2819dao,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-11 13:28:21,6,-75,59.955397105523595,10.609745726764631,197.18135960417592,8,WIFI
44:f0:34:ea:be:c0,Telenor2819dao,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-11 13:28:21,100,-78,59.955397105523595,10.609745726764631,197.18135960417592,8,WIFI
44:f0:34:ea:be:bf,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2021-05-11 13:28:21,100,-79,59.955397105523595,10.609745726764631,197.18135960417592,8,WIFI
34:21:09:45:be:19,Thuis,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS],2021-05-11 13:28:21,6,-93,59.955397105523595,10.609745726764631,197.18135960417592,8,WIFI
62:31:97:62:06:70,Altibox086127,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2021-05-11 13:28:21,11,-96,59.955397105523595,10.609745726764631,197.18135960417592,8,WIFI
24214_10006_28188178,ICE Communication Norge AS,UNKNOWN;no,2021-05-11 13:28:21,6200,-113,59.955397105523595,10.609745726764631,197.18135960417592,8,GSM
24214_10006_28188178,ICE Communication Norge AS,UNKNOWN;no,2021-05-11 13:28:21,6200,-89,59.955397105523595,10.609745726764631,197.18135960417592,8,GSM
48:e5:28:50:8f:6f,,Uncategorized;10,2021-05-11 13:28:23,7936,-89,59.95541701844399,10.609695425609413,191.8501028937284,16,BLE
90:f8:91:6d:d6:da,Telenor2819dao,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-11 13:28:24,1,-54,59.95540870302057,10.609706456139405,188.60824466716895,8,WIFI
f8:74:e8:47:ba:09,Forerunner 935,Uncategorized;10,2021-05-11 13:28:24,7936,-88,59.95540870302057,10.609706456139405,188.60824466716895,8,BT
62:31:97:68:e8:50,Havfjell_24ghz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2021-05-11 13:28:26,12,-97,59.95533425926091,10.609751784728699,192.94403479844405,8,WIFI
90:f8:91:6d:d6:d3,Telenor2819dao,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-11 13:28:29,100,-58,59.95531680620995,10.609750005820752,194.2588816328724,6,WIFI
44:f0:34:ea:be:bf,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2021-05-11 13:28:29,100,-67,59.95531680620995,10.609750005820752,194.2588816328724,6,WIFI
44:f0:34:ea:be:c0,Telenor2819dao,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-11 13:28:29,100,-70,59.95531680620995,10.609750005820752,194.2588816328724,6,WIFI
1c:3b:f3:55:21:a5,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2021-05-11 13:28:29,100,-94,59.95531680620995,10.609750005820752,194.2588816328724,6,WIFI
64:d2:c4:9b:9a:df,,Uncategorized;10,2021-05-11 13:28:31,7936,-92,59.955304157191016,10.609719603141253,195.83742876382095,6,BT
12:10:71:54:5d:6f,,Uncategorized;10,2021-05-11 13:28:31,7936,-92,59.955304157191016,10.609719603141253,195.83742876382095,6,BT
44:f0:34:ea:be:c0,Telenor2819dao,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-11 13:28:32,100,-65,59.955296332154866,10.609706849839448,196.19434964814187,6,WIFI
44:f0:34:ea:be:c0,Telenor2819dao,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-11 13:28:35,100,-58,59.955279972388524,10.609651217237271,197.3551538139672,6,WIFI
22:3b:f3:55:21:a4,Helt KONGE,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][ESS][WPS],2021-05-11 13:28:35,44,-89,59.955279972388524,10.609651217237271,197.3551538139672,6,WIFI
1c:3b:f3:55:21:a4,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2021-05-11 13:28:35,44,-89,59.955279972388524,10.609651217237271,197.3551538139672,6,WIFI
10:62:eb:99:eb:94,toulouse,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS][WPS],2021-05-11 13:28:35,6,-89,59.955279972388524,10.609651217237271,197.3551538139672,6,WIFI
44:f0:34:da:ef:2a,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2021-05-11 13:28:35,108,-93,59.955279972388524,10.609651217237271,197.3551538139672,6,WIFI
44:f0:34:da:ef:2b,Telenor9027med,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-11 13:28:35,108,-93,59.955279972388524,10.609651217237271,197.3551538139672,6,WIFI
44:f0:34:ea:be:c7,Telenor2819dao,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-11 13:28:38,6,-70,59.95525697172709,10.609598710421247,197.9726055078141,6,WIFI
10:62:eb:99:eb:96,toulouse,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS][WPS],2021-05-11 13:28:38,36,-93,59.95525697172709,10.609598710421247,197.9726055078141,6,WIFI
22:3b:f3:55:21:a3,Helt KONGE,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][ESS][WPS],2021-05-11 13:28:38,5,-93,59.95525697172709,10.609598710421247,197.9726055078141,6,WIFI
1c:3b:f3:55:21:a5,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2021-05-11 13:28:41,100,-84,59.955240511767705,10.609582641745352,198.83741055633885,4,WIFI
90:f8:91:ed:6b:70,Telenor2196fus,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-11 13:28:41,11,-91,59.955240511767705,10.609582641745352,198.83741055633885,4,WIFI
fa:8f:ca:64:f1:c0,,[ESS],2021-05-11 13:28:41,12,-94,59.955240511767705,10.609582641745352,198.83741055633885,4,WIFI
f2:f6:c1:60:2e:e9,SONOS-AxcBDQACCvD2wWAu6QM=,[ESS],2021-05-11 13:28:41,11,-95,59.955240511767705,10.609582641745352,198.83741055633885,4,WIFI
88:57:1d:57:06:ef,[washer]_E30AJT2103388F,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2021-05-11 13:28:47,1,-91,59.955183779951575,10.609613504417139,199.7274972185325,4,WIFI
44:f0:34:ea:be:bf,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2021-05-11 13:28:50,100,-53,59.95515922775145,10.609660188566904,199.0458668595422,4,WIFI
44:f0:34:ea:be:c7,Telenor2819dao,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-11 13:28:50,6,-55,59.95515922775145,10.609660188566904,199.0458668595422,4,WIFI
88:57:1d:49:7a:28,[dryer]_E30AJT3103FFFF,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2021-05-11 13:28:50,4,-85,59.95515922775145,10.609660188566904,199.0458668595422,4,WIFI
48:e5:28:50:8f:6f,,Uncategorized;10,2021-05-11 13:28:52,7936,-70,59.95515294153619,10.609703774995257,198.80911413364433,4,BLE
90:f8:91:ed:6b:69,Telenor2196fus,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-11 13:28:53,100,-93,59.95515073060618,10.609720610576684,198.58984239960142,4,WIFI
9c:20:7b:d8:0a:7f,,Uncategorized;10,2021-05-11 13:28:56,7936,-79,59.95515667349239,10.60977231683304,198.01475297557516,3,BT
88:57:1d:57:06:ef,[washer]_E30AJT2103388F,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2021-05-11 13:28:56,1,-80,59.95515667349239,10.60977231683304,198.01475297557516,3,WIFI
24:4b:fe:d2:0e:60,NYSPRING,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-11 13:28:56,12,-88,59.95515667349239,10.60977231683304,198.01475297557516,3,WIFI
34:21:09:77:82:59,KA19,[WPA2-PSK+FT/PSK-TKIP+CCMP][RSN-PSK+FT/PSK-TKIP+CCMP][ESS],2021-05-11 13:28:56,6,-90,59.95515667349239,10.60977231683304,198.01475297557516,3,WIFI
3e:d5:97:2b:f3:2f,,Misc,2021-05-11 13:28:56,0,-92,59.95515667349239,10.60977231683304,198.01475297557516,3,BLE
00:22:07:b4:b3:bc,NextGenTel_B3BD,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-11 13:28:59,1,-92,59.955171449928486,10.609831308022985,198.0582824009719,3,WIFI
34:21:09:7e:ae:b9,Grini Golfklubb,[WPA2-PSK+FT/PSK-TKIP+CCMP][RSN-PSK+FT/PSK-TKIP+CCMP][ESS],2021-05-11 13:29:02,11,-88,59.9551971318555,10.609901493499908,198.373943164804,3,WIFI
