WigleWifi-1.4,appRelease=2.60,model=SM-G973F,release=11,device=beyond1,display=RP1A.200720.012.G973FXXU9FUCD,board=exynos9820,brand=samsung
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
f8:74:e8:47:ba:09,Forerunner 935,Uncategorized;10,2021-05-11 13:45:50,7936,-92,59.9553786647172,10.609726830077634,218.11746253493126,24,BT
90:f8:91:6d:d6:da,Telenor2819dao,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-11 13:45:51,1,-52,59.95539693188746,10.609738574403682,201.20772151928242,12,WIFI
90:f8:91:6d:d6:d3,Telenor2819dao,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-11 13:45:51,100,-59,59.95539693188746,10.609738574403682,201.20772151928242,12,WIFI
44:f0:34:ea:be:bf,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2021-05-11 13:45:51,100,-71,59.95539693188746,10.609738574403682,201.20772151928242,12,WIFI
44:f0:34:ea:be:c0,Telenor2819dao,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-11 13:45:51,100,-71,59.95539693188746,10.609738574403682,201.20772151928242,12,WIFI
44:f0:34:ea:be:c7,Telenor2819dao,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-11 13:45:51,6,-77,59.95539693188746,10.609738574403682,201.20772151928242,12,WIFI
10:62:eb:99:eb:94,toulouse,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS][WPS],2021-05-11 13:45:51,6,-90,59.95539693188746,10.609738574403682,201.20772151928242,12,WIFI
24202_2803_31326475,TeliaSonera Norge AS,UNKNOWN;no,2021-05-11 13:45:51,1650,-113,59.95539693188746,10.609738574403682,201.20772151928242,12,GSM
24202_2803_31326475,TeliaSonera Norge AS,UNKNOWN;no,2021-05-11 13:45:51,1650,-98,59.95539693188746,10.609738574403682,201.20772151928242,12,GSM
77:8c:9b:a4:08:34,,Misc,2021-05-11 13:45:51,7936,-87,59.95539693188746,10.609738574403682,201.20772151928242,12,BLE
fc:db:b3:9f:2c:bb,G7-9F2CBB,[ESS],2021-05-11 13:45:54,10,-90,59.955334038270905,10.609819098450025,202.40312697594453,8,WIFI
fc:db:b3:9f:2c:bb,G7-9F2CBB,[ESS],2021-05-11 13:45:57,10,-82,59.955323605732715,10.609779903486073,203.05840133036415,6,WIFI
